,url,class,domain_name,domain,suffix,create_date,updated_date,expiration_date,state,country,status,emails,whois_server,registrar,host_ip
5356311,http://ug-i.tripod.com/,malicious,tripod.com,tripod,com,1994-09-29 04:00:00,2018-12-17 17:15:26,2020-09-28 04:00:00,MA,US,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","['domainabuse@cscglobal.com', 'dns-admin@lycos-inc.com']",whois.corporatedomains.com,"CSC CORPORATE DOMAINS, INC.",209.202.252.55
5085481,http://avelingproduce.co.uk/ze/?ksd&amp;email&amp;fksdf,malicious,avelingproduce.co.uk,avelingproduce,co.uk,2016-03-17 00:00:00,2016-04-11 00:00:00,2026-03-17 00:00:00,,,Registered until expiry date.,,,123-Reg Limited t/a 123-reg [Tag = 123-REG],72.47.224.85
6090826,http://tmff.us/trade2/support/host/Alibaba.com/Login.htm,malicious,tmff.us,tmff,us,2015-08-19 04:00:24,"[datetime.datetime(2018, 8, 24, 17, 27, 59), datetime.datetime(2018, 8, 19, 17, 28)]",2019-08-18 23:59:59,,,"['clientRenewProhibited https://icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']",,,,104.152.168.13
5812400,https://vagdevigurazala.in/login/customer_center/customer-IDPP00C788/myaccount/settings,malicious,vagdevigurazala.in,vagdevigurazala,in,2012-09-02 06:35:52,2018-10-09 05:54:02,2019-09-02 06:35:52,,,clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited,,,Endurance Domains Technology LLP,131.153.37.4
6108315,"https://onedrive.live.com/redir?resid=9EECAA1FCA1F66B5!116&amp;authkey=!AO2QWHIERr8c89E&amp;ithint=file,xlsx&amp;page=survey&amp;wdFormId=",malicious,live.com,live,com,1994-12-28 05:00:00,"[datetime.datetime(2019, 2, 14, 14, 47, 28), datetime.datetime(2019, 2, 13, 22, 35, 7)]",2019-12-27 05:00:00,WA,US,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'serverDeleteProhibited http://www.icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited http://www.icann.org/epp#serverTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited']","['domainabuse@cscglobal.com', 'domains@microsoft.com', 'msnhst@microsoft.com']",whois.corporatedomains.com,"CSC CORPORATE DOMAINS, INC.",204.79.197.212
5840482,http://correo.flexiplasttbt.com/email/scripts/loginuser.pl,malicious,flexiplasttbt.com,flexiplasttbt,com,2008-06-25 16:21:05,2019-06-26 17:22:39,2020-06-25 16:21:05,CADIZ,CO,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited', 'transferPeriod https://www.icann.org/epp#transferPeriod']","['email@nicline.com', 'whoiscontact@domainconnection.info']",whois.nicline.com,"Arsys Internet, S.L. dba NICLINE.COM",34.198.182.201
5983111,http://dropbox.com.secure.gok-fen.net/dropbox17/dropbox17/,malicious,gok-fen.net,gok-fen,net,2011-04-29 14:53:01,"[datetime.datetime(2019, 4, 28, 11, 48, 45), datetime.datetime(2019, 4, 28, 11, 48, 46)]",2020-04-29 14:53:01,,TR,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['abuse@reg2c.com', 'contact@privatewhois.biz']",whois.reg2c.com,Reg2C.com Inc.,185.84.180.37
6077868,http://netfli-x6recovery.jdevcloud.com/wp-content/uploads/netflix/87zrazsazr4a9raz/billing.php?ip=34.237.113.113,malicious,jdevcloud.com,jdevcloud,com,"[datetime.datetime(2015, 2, 16, 16, 43, 9), datetime.datetime(2015, 2, 16, 16, 43)]",2019-02-17 01:15:06,"[datetime.datetime(2021, 2, 16, 16, 43, 9), datetime.datetime(2021, 2, 16, 16, 43)]",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']",ABUSE@ENOM.COM,WHOIS.ENOM.COM,"ENOM, INC.",missing
5988761,http://rgho.st/855ThtlHw?r=1500,malicious,rgho.st,rgho,st,2014-12-16 00:00:00,2018-11-25 00:00:00,2019-12-16 00:00:00,,,ok,contact@realisticgroup.com,,ST Registry,missing
6113823,http://www.pescaturismocorona.it/wp-content/plugins/gdpr/assets/uu/ewe1/33ac10/,malicious,pescaturismocorona.it,pescaturismocorona,it,2018-01-31 10:25:54,2019-02-16 00:53:46,2020-01-31 00:00:00,,,ok,,,,89.46.106.80
4904569,http://einstituto.org/contenido/diseno/evm/webinar/protect/upgrade/,malicious,einstituto.org,einstituto,org,2008-09-18 22:00:43,"[datetime.datetime(2018, 8, 31, 21, 44, 52), datetime.datetime(2018, 8, 31, 18, 44, 54)]",2019-09-18 22:00:43,Capital Federal,"['AR', 'ar']",ok https://icann.org/epp#ok,"['abuse@donweb.com', 'mpueyrredon@consultagroup.com', 'abuse@dattatec.com']",whois.donweb.com,dattatec.com SRL,192.185.98.252
6031193,http://download2266.mediafire.com/wfoied017kwg/evwf36ugo8i0za9/NEW_PURCHASE.7z,malicious,mediafire.com,mediafire,com,2002-08-11 15:31:16,"[datetime.datetime(2018, 8, 30, 18, 4, 16), datetime.datetime(2018, 8, 30, 18, 4, 15)]",2021-08-11 15:31:16,Texas,US,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']",abuse@godaddy.com,whois.godaddy.com,"GoDaddy.com, LLC",104.19.195.29
5864353,http://fabricadeconcluidores.com.br/wp-includes/Requests/cu.htm,malicious,fabricadeconcluidores.com.br,fabricadeconcluidores,com.br,,,,,,published,,,,205.186.187.205
5787886,http://kinhtetv.com/psp/pos/index.php,malicious,kinhtetv.com,kinhtetv,com,"[datetime.datetime(2014, 12, 11, 17, 22, 24), datetime.datetime(2014, 12, 11, 0, 0)]","[datetime.datetime(2018, 11, 12, 4, 34, 13), datetime.datetime(2018, 11, 12, 0, 0)]","[datetime.datetime(2019, 12, 11, 17, 22, 24), datetime.datetime(2019, 12, 11, 0, 0)]",00848,VN,ok https://icann.org/epp#ok,"['abuse@gmo.jp', 'domain.099048@gmail.com']",whois.discount-domain.com,"GMO INTERNET, INC.",103.18.6.116
6062516,http://appleid.apple.com.cust-settlementcase1.com/,malicious,cust-settlementcase1.com,cust-settlementcase1,com,2019-05-26 17:46:44,2019-05-26 17:46:45,2020-05-26 17:46:44,ON,CA,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","['registrar-abuse@google.com', 'ywowvnyxqend@contactprivacy.email']",whois.google.com,Google LLC,134.209.169.116
6119301,http://shiry.hugoguerrero.com/vendor/bin/step2.php,malicious,hugoguerrero.com,hugoguerrero,com,2016-11-25 04:57:20,2018-11-10 16:52:12,2019-11-25 04:57:20,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,ok https://icann.org/epp#ok,"['compliance@domain-inc.net', 'support@domain-inc.net']",whois.domain.com,"Domain.com, LLC",192.185.21.143
4790060,http://slupt.upt.ro/images/stories/POJEJENA/update/mail.htm?_pageLabel,malicious,upt.ro,upt,ro,,,,,,OK,,,ICI - Registrar,193.226.10.130
5770039,https://mcdonalds.prepaidaccess.com/consumer,malicious,prepaidaccess.com,prepaidaccess,com,2003-03-13 19:13:44,2018-07-13 23:05:06,2020-03-13 18:13:44,NE,US,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","['domainabuse@cscglobal.com', 'domainadmin@firstdatacorp.com', 'domaintech@firstdatacorp.com']",whois.corporatedomains.com,"CSC CORPORATE DOMAINS, INC.",66.151.225.194
5991032,http://antelope-ban.com/gallery/wp-content/uploads/2017/08,malicious,antelope-ban.com,antelope-ban,com,2009-03-16 08:06:14,"[datetime.datetime(2017, 3, 13, 2, 55, 38), datetime.datetime(2017, 4, 21, 13, 47, 58)]",2020-03-16 08:06:14,Jawa Barat,ID,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['abuse-contact@publicdomainregistry.com', 'achorivai@gmail.com']",whois.publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,167.114.190.45
6061714,https://cityofdreams.co/,malicious,cityofdreams.co,cityofdreams,co,2018-06-17 10:59:48,2019-05-31 17:00:20,2020-06-17 10:59:48,CO,US,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@name.com,,"Name.com, Inc.",104.27.143.87
6104423,http://24hrsdepromocao.com/54400000asa0sf/index.php?&amp;id=1,malicious,24hrsdepromocao.com,24hrsdepromocao,com,2019-07-02 12:59:33,"[datetime.datetime(2019, 7, 2, 13, 4, 9), datetime.datetime(2019, 7, 2, 13, 4, 10)]",2020-07-02 12:59:33,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,ok https://icann.org/epp#ok,domainabuse@tucows.com,whois.tucows.com,"TUCOWS, INC.",104.27.130.142
6066830,https://techsala.com/cgi/workplace/,malicious,techsala.com,techsala,com,"[datetime.datetime(2015, 4, 28, 6, 43, 55), datetime.datetime(2015, 4, 27, 7, 0)]","[datetime.datetime(2019, 7, 5, 16, 37, 42), datetime.datetime(2019, 7, 11, 7, 0)]","[datetime.datetime(2020, 4, 28, 6, 43, 55), datetime.datetime(2020, 4, 27, 7, 0)]",AZ,US,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","['abuse@namesilo.com', 'pw-f39d5ebaba772717dfc7dc7ef340a9ea@privacyguardian.org']",whois.namesilo.com,"NameSilo, LLC",142.54.168.172
6099243,http://u0747701.cp.regruhosting.ru/T.inggoli.castalo.accseso.liniea.763/bandolina.iiinnngggg.loctiona.980878968.listado.89078,malicious,regruhosting.ru,regruhosting,ru,2008-04-17 20:00:00,,2020-04-17 21:00:00,,,"REGISTERED, DELEGATED, VERIFIED",,,REGRU-RU,missing
6006966,http://webmail.jdptbc.org/IlOysTgNjFrGtHtEAwVo/indexx.php,malicious,jdptbc.org,jdptbc,org,2011-06-15 21:46:49,"[datetime.datetime(2019, 6, 27, 10, 16, 11), datetime.datetime(2017, 6, 7, 20, 41, 18)]","[datetime.datetime(2020, 6, 15, 21, 46, 49), datetime.datetime(2019, 6, 15, 21, 46, 49)]",Arizona,US,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'autoRenewPeriod https://icann.org/epp#autoRenewPeriod', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']","['abuse@godaddy.com', 'JDPTBC.ORG@domainsbyproxy.com']",whois.godaddy.com,"GoDaddy.com, LLC",184.168.221.83
5967651,https://promed-romeda.firebaseapp.com/,malicious,firebaseapp.com,firebaseapp,com,,,,,,,,,,151.101.1.195
